Id,Label,timeset,modularity_class
"明党参[伞形科明党参属植物]",,,16
"美味芹族",,,16
"麦芽",,,7
"牡丹皮",,,12
"猫爪草[植物]",,,12
"毛茛亚科",,,12
"毛茛族",,,12
"毛茛属",,,12
"腊梅花[腊梅花]",,,7
"樟目",,,12
"蜡梅科",,,7
"蜡梅属",,,7
"蜡梅",,,7
"密蒙花[中药]",,,13
"醉鱼草属",,,13
"春季",,,13
"龙胆[中草药]",,,1
"龙胆亚科",,,1
"龙胆族",,,1
"龙胆属",,,1
"龙胆草",,,1
"凌霄花",,,4
"莲子",,,12
"漏芦",,,1
"两头尖",,,12
"银莲花属",,,12
"多被银莲花",,,12
"路路通[中药]",,,17
"金缕梅科",,,17
"枫香树",,,17
"仙人掌[石竹沙漠植物]",,,11
"仙人掌属",,,11
"芦根[植物]",,,3
"芦苇属",,,3
"络石藤[植物]",,,2
"络石属",,,2
"连翘[木犀科连翘属植物]",,,13
"木犀亚科",,,13
"丁香族",,,13
"西兰花",,,0
"青花菜",,,0
"九里香[芸香科、九里香属常绿灌木]",,,9
"电影",,,12
"两面针[中药]",,,9
"花椒属",,,9
"决明子[中药]",,,5
"决明属",,,5
"荆芥[唇形科荆芥属植物]",,,7
"荆芥族",,,7
"金礞石",,,7
"烂石",,,7
"金樱子[中草药]",,,5
"金钱草[金钱草一种植物]",,,1
"镜面草",,,1
"报春花目",,,1
"报春花科",,,1
"珍珠菜属",,,1
"金沸草",,,4
"金果榄",,,12
"防己科",,,12
"青牛胆",,,12
"金荞麦[植物]",,,11
"荞麦属",,,11
"降香[豆科黄檀属乔木]",,,5
"蝶形花科",,,4
"红大戟",,,1
"红芽大戟属",,,1
"鸡血藤[植物]",,,5
"南瓜[南瓜葫芦科植物]",,,15
"堇菜目",,,15
"南瓜属",,,15
"鸡冠花[苋科植物]",,,11
"青葙属",,,11
"真核域",,,2
"厚朴[木兰科木兰属植物]",,,12
"木兰亚属",,,12
"胡椒[胡椒科胡椒属植物]",,,4
"胡椒目",,,4
"胡黄连[胡黄连]",,,7
"玄参科",,,7
"胡黄连属",,,7
"红花[菊科、红花属植物]",,,1
"红蓝花",,,1
"虎杖[中药]",,,11
"虎杖属",,,11
"黄柏[中药]",,,9
"川黄柏",,,9
"黄皮树",,,9
"花椒[植物]",,,9
"芸香亚科",,,9
"花椒亚属",,,9
"黄连[毛茛科植物]",,,12
"唐松草亚科",,,12
"黄连族",,,12
"黄连属",,,12
"黄芩[唇形科植物]",,,7
"黄芩亚科",,,7
"黄芩属",,,7
"黄芩亚属",,,7
"荷叶[睡莲科植物莲的叶]",,,5
"莲叶",,,5
"汉桂",,,0
"桂花",,,0
"木犀属",,,0
"蟹爪兰[仙人掌科观赏植物]",,,11
"蟹爪兰属",,,11
"海棠[蔷薇科植物]",,,5
"祁门红茶",,,15
"木兰[植物学用语]",,,12
"木兰属",,,12
"圆锥石头花",,,11
"石竹科",,,11
"石竹亚科",,,11
"石竹族",,,11
"石头花属",,,11
"雾葡萄",,,3
"葡萄属",,,3
"芹菜[伞形科植物]",,,16
"胡芹",,,16
"芹属",,,16
celery,,,16
"冬瓜",,,15
"香菜[伞形科刺芹属植物]",,,16
"芫荽",,,16
"番茄[茄科茄属植物]",,,1
"红薯叶",,,1
"番薯",,,1
"小麦[小麦属植物的统称]",,,2
"早熟禾亚科",,,2
"小麦族",,,2
wheat,,,2
"杨树[植物]",,,3
"杨柳目",,,3
"杨柳科",,,3
"杨属",,,3
"黄河流域",,,3
aspen,,,3
"落叶乔木",,,3
"葱莲",,,2
"无籽西瓜[二倍体跟诱变产生的四倍体杂交而成的西瓜]",,,15
"农学",,,3
"紫罗兰[十字花科草本植物]",,,6
"紫罗兰属",,,6
"四川百里峡",,,0
"平车前",,,1
"车前目",,,1
"车前科",,,1
"车前属",,,1
"棉花[锦葵科棉属植物]",,,0
"棉纤维",,,0
"木槿族",,,0
cotton,,,0
"白蜡树[木犀科植物]",,,13
"梣族",,,13
"梣属",,,13
"茄[茄科植物]",,,1
"茄亚属",,,1
"海风藤",,,4
"胡椒科",,,4
"海藻[植物物种]",,,0
"藻类植物门",,,0
"绿藻纲",,,0
"松藻目",,,0
"马尾藻科",,,0
"松藻属",,,0
"炮姜",,,2
"姜科",,,2
"姜属",,,2
"干姜",,,7
"关木通",,,7
"莴苣[植物]",,,1
"莴苣亚族",,,1
"莴苣属",,,1
"佛手[芸香科植物]",,,9
"香橼",,,9
"甘遂",,,0
"大戟亚科",,,0
"大戟族",,,0
"大戟属",,,0
"乳浆大戟亚属",,,0
"木天蓼",,,15
"春秋",,,15
"甘松",,,16
"败酱科",,,16
"枸骨叶",,,0
"冬青目",,,0
"冬青科",,,0
"冬青属",,,0
"钩藤[茜草科钩藤属植物]",,,1
"乌檀族",,,1
"狗脊",,,7
"真蕨亚门",,,7
"薄囊蕨纲",,,7
"水龙骨目",,,7
"蚌壳蕨科",,,7
"剑麻[植物名称]",,,2
"菠萝麻",,,2
Agave sisalana,,,2
"龙舌兰属",,,2
"白芷[植物]",,,16
"前胡族",,,16
"当归属",,,16
"田野",,,16
"猪笼草[植物]",,,1
"瓶子草目",,,1
"猪笼草科",,,1
"猪笼草属",,,1
"韭菜",,,2
"葱亚科",,,2
"李子[蔷薇科李属植物]",,,5
"水稻",,,0
"稻亚科",,,0
"稻属",,,0
paddy,,,0
"袁隆平",,,0
"高粱[禾本科高粱属草本]",,,2
"棕榈树",,,3
"金露花",,,7
"马鞭草科",,,7
"南美洲",,,7
"马樱丹",,,7
"马缨丹属",,,7
"宁夏枸杞",,,3
"中宁枸杞",,,1
"枸杞属",,,1
"荷兰鸢尾",,,2
"银屏牡丹",,,17
"虎耳草目",,,17
"五桠果目",,,17
"五彩石竹",,,11
"石竹属",,,11
"马尼拉草",,,2
"结缕草属",,,2
"沟叶结缕草",,,2
"白花蛇舌草[茜草科耳草属植物]",,,1
"半枝莲[植物]",,,7
"蝴蝶兰[兰科、蝴蝶兰属植物]",,,2
"荷包花",,,7
"秤锤树",,,15
"柿树目",,,15
"安息香科",,,15
"香石竹",,,11
"栀子花茶",,,1
"勋章菊",,,1
"白兰花茶",,,3
"木兰科",,,12
"珠兰花茶",,,15
"花族",,,15
